ID_MUNICIPIO,PARTIDO,TX_APROVACAO_5ANO,TX_REPROVACAO_5ANO,TX_ABANDONO_5ANO,TX_APROVACAO_9ANO,TX_REPROVACAO_9ANO,TX_ABANDONO_9ANO
3124906,PTB,0.965,0.035,0.0,1.0,0.0,0.0
3125101,DEM,0.98,0.02,0.0,0.985,0.015,0.0
3125606,PSDB,0.99,0.01,0.0,1.0,0.0,0.0
3125705,REPUBLICANOS,0.883,0.117,0.0,0.862,0.128,0.01
3126109,DEM,0.993,0.005,0.002,0.982,0.018,0.0
3126208,PL,1.0,0.0,0.0,1.0,0.0,0.0
3126406,MDB,1.0,0.0,0.0,0.957,0.043,0.0
3126505,PT,1.0,0.0,0.0,1.0,0.0,0.0
3126604,REPUBLICANOS,1.0,0.0,0.0,1.0,0.0,0.0
3126703,AVANTE,0.994,0.0,0.006,1.0,0.0,0.0
3126802,PT,0.975,0.025,0.0,0.905,0.024,0.071
3126950,PRTB,1.0,0.0,0.0,1.0,0.0,0.0
3127057,PODE,1.0,0.0,0.0,1.0,0.0,0.0
3127107,PP,0.993,0.007,0.0,1.0,0.0,0.0
3127339,PATRIOTA,1.0,0.0,0.0,1.0,0.0,0.0
3127602,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3127800,PTB,0.994,0.006,0.0,0.955,0.009,0.036
3128105,PCdoB,0.994,0.006,0.0,1.0,0.0,0.0
3128204,REPUBLICANOS,1.0,0.0,0.0,1.0,0.0,0.0
3128303,MDB,1.0,0.0,0.0,0.878,0.122,0.0
3128501,PSDB,0.966,0.034,0.0,1.0,0.0,0.0
3129509,PSDB,1.0,0.0,0.0,1.0,0.0,0.0
3129657,PP,1.0,0.0,0.0,1.0,0.0,0.0
3129806,AVANTE,0.998,0.001,0.001,0.965,0.016,0.019
3130507,PP,1.0,0.0,0.0,1.0,0.0,0.0
3130655,PODE,1.0,0.0,0.0,0.933,0.0,0.067
3130705,PTB,0.881,0.119,0.0,1.0,0.0,0.0
3130903,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3131208,PL,1.0,0.0,0.0,1.0,0.0,0.0
3131307,PSL,0.983,0.016,0.001,0.97,0.025,0.005
3131406,PP,1.0,0.0,0.0,1.0,0.0,0.0
3131901,CIDADANIA,0.961,0.039,0.0,0.966,0.029,0.005
3132008,PSB,0.895,0.105,0.0,1.0,0.0,0.0
3132107,PP,0.994,0.006,0.0,0.926,0.037,0.037
3132305,PP,0.981,0.0,0.019,0.819,0.153,0.028
3132503,AVANTE,1.0,0.0,0.0,1.0,0.0,0.0
3132602,PT,1.0,0.0,0.0,0.903,0.065,0.032
3132701,AVANTE,1.0,0.0,0.0,0.881,0.075,0.044
3133303,DEM,1.0,0.0,0.0,0.829,0.049,0.122
3133600,MDB,0.965,0.035,0.0,0.896,0.104,0.0
3133709,PSC,1.0,0.0,0.0,1.0,0.0,0.0
3133758,DEM,0.985,0.015,0.0,0.992,0.0,0.008
3133808,PSD,0.989,0.008,0.003,0.917,0.083,0.0
3134004,PP,1.0,0.0,0.0,1.0,0.0,0.0
3134103,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3134202,AVANTE,0.993,0.007,0.0,0.986,0.014,0.0
3134400,PSC,0.979,0.021,0.0,1.0,0.0,0.0
3134707,PSDB,0.985,0.015,0.0,1.0,0.0,0.0
3134905,SOLIDARIEDADE,1.0,0.0,0.0,0.995,0.005,0.0
3135001,PSDB,1.0,0.0,0.0,0.808,0.192,0.0
3135050,MDB,1.0,0.0,0.0,0.935,0.022,0.043
3135100,PSD,1.0,0.0,0.0,0.976,0.016,0.008
3135209,PP,0.967,0.033,0.0,0.956,0.028,0.016
3135357,PROS,1.0,0.0,0.0,1.0,0.0,0.0
3135407,PDT,1.0,0.0,0.0,1.0,0.0,0.0
3135704,PSDB,1.0,0.0,0.0,0.929,0.036,0.035
3135803,PDT,0.994,0.006,0.0,1.0,0.0,0.0
3136009,CIDADANIA,0.994,0.0,0.006,0.966,0.0,0.034
3136207,PT,0.989,0.009,0.002,0.897,0.1,0.003
3136306,PDT,1.0,0.0,0.0,0.943,0.023,0.034
3136405,PSD,1.0,0.0,0.0,0.871,0.129,0.0
3136504,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3136652,PATRIOTA,0.92,0.08,0.0,0.99,0.01,0.0
3136959,PT,1.0,0.0,0.0,1.0,0.0,0.0
3137007,PSB,0.995,0.0,0.005,0.895,0.105,0.0
3137403,PSDB,0.942,0.05,0.008,0.934,0.033,0.033
3137601,CIDADANIA,0.991,0.007,0.002,0.918,0.064,0.018
3137700,MDB,0.972,0.024,0.004,0.932,0.014,0.054
3138005,REPUBLICANOS,1.0,0.0,0.0,0.984,0.0,0.016
3138104,PDT,1.0,0.0,0.0,0.939,0.061,0.0
3138203,PSB,0.97,0.03,0.0,0.974,0.022,0.004
3138351,PODE,1.0,0.0,0.0,0.9,0.1,0.0
3138401,PL,0.997,0.0,0.003,0.982,0.015,0.003
3138609,PT,1.0,0.0,0.0,1.0,0.0,0.0
3138658,PSD,1.0,0.0,0.0,1.0,0.0,0.0
3138682,PP,1.0,0.0,0.0,1.0,0.0,0.0
3138807,PT,1.0,0.0,0.0,1.0,0.0,0.0
3139201,CIDADANIA,1.0,0.0,0.0,0.897,0.069,0.034
3139300,PT,0.987,0.007,0.006,0.882,0.079,0.039
3139409,PSB,0.998,0.0,0.002,0.918,0.057,0.025
3139508,REPUBLICANOS,1.0,0.0,0.0,0.913,0.065,0.022
3139607,PSB,1.0,0.0,0.0,1.0,0.0,0.0
3139706,AVANTE,1.0,0.0,0.0,0.836,0.11,0.054
3139805,PSDB,1.0,0.0,0.0,0.8,0.0,0.2
3139904,PTB,0.993,0.007,0.0,0.952,0.048,0.0
3140209,PTB,0.864,0.136,0.0,1.0,0.0,0.0
3140506,AVANTE,0.973,0.018,0.009,0.86,0.047,0.093
3140530,PSDB,0.941,0.059,0.0,1.0,0.0,0.0
3140555,PSDB,0.917,0.083,0.0,0.971,0.0,0.029
3140605,PDT,1.0,0.0,0.0,1.0,0.0,0.0
3140704,REPUBLICANOS,0.992,0.006,0.002,0.911,0.084,0.005
3140852,AVANTE,1.0,0.0,0.0,0.909,0.061,0.03
3140902,CIDADANIA,1.0,0.0,0.0,1.0,0.0,0.0
3141108,MDB,0.996,0.004,0.0,0.903,0.097,0.0
3141207,PDT,1.0,0.0,0.0,1.0,0.0,0.0
3141306,PTB,1.0,0.0,0.0,0.947,0.018,0.035
3141702,PSDB,1.0,0.0,0.0,1.0,0.0,0.0
3141801,REPUBLICANOS,0.997,0.003,0.0,0.966,0.011,0.023
3142007,AVANTE,1.0,0.0,0.0,0.846,0.154,0.0
3142106,PTB,0.978,0.022,0.0,1.0,0.0,0.0
3142205,REPUBLICANOS,0.988,0.012,0.0,1.0,0.0,0.0
3142254,PTB,1.0,0.0,0.0,0.966,0.0,0.034
3142601,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3142700,PODE,1.0,0.0,0.0,1.0,0.0,0.0
3142809,PSD,0.939,0.061,0.0,0.952,0.036,0.012
3142908,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3143104,PSD,1.0,0.0,0.0,0.982,0.018,0.0
3143302,CIDADANIA,0.999,0.001,0.0,0.991,0.009,0.0
3143401,PSL,0.996,0.0,0.004,0.794,0.161,0.045
3143500,PSDB,1.0,0.0,0.0,0.88,0.06,0.06
3143609,DEM,1.0,0.0,0.0,0.872,0.103,0.025
3143906,PP,0.966,0.034,0.0,0.988,0.012,0.0
3144003,AVANTE,1.0,0.0,0.0,1.0,0.0,0.0
3144300,PROS,0.958,0.031,0.011,0.851,0.064,0.085
3144805,CIDADANIA,0.985,0.015,0.0,0.965,0.02,0.015
3145000,PL,1.0,0.0,0.0,1.0,0.0,0.0
3145059,PSL,1.0,0.0,0.0,0.941,0.0,0.059
3145109,PSL,0.982,0.009,0.009,0.968,0.032,0.0
3145208,MDB,0.997,0.003,0.0,0.996,0.001,0.003
3145307,PL,1.0,0.0,0.0,0.974,0.0,0.026
3145356,PSC,0.936,0.064,0.0,1.0,0.0,0.0
3145372,PODE,1.0,0.0,0.0,1.0,0.0,0.0
3145406,AVANTE,0.84,0.12,0.04,0.957,0.043,0.0
3145505,PSB,0.967,0.033,0.0,0.964,0.0,0.036
3145604,MDB,0.988,0.012,0.0,1.0,0.0,0.0
3145703,PTB,1.0,0.0,0.0,1.0,0.0,0.0
3145851,PROS,0.937,0.063,0.0,0.904,0.096,0.0
3145877,PDT,1.0,0.0,0.0,0.902,0.037,0.061
3145901,PSDB,0.969,0.031,0.0,0.822,0.178,0.0
3146107,PV,0.926,0.074,0.0,0.965,0.03,0.005
3146206,MDB,1.0,0.0,0.0,0.8,0.0,0.2
3146305,SOLIDARIEDADE,1.0,0.0,0.0,0.956,0.044,0.0
3146552,PP,1.0,0.0,0.0,0.967,0.033,0.0
3146602,PSC,1.0,0.0,0.0,1.0,0.0,0.0
3146750,DEM,0.84,0.16,0.0,1.0,0.0,0.0
3147006,DEM,0.993,0.007,0.0,0.949,0.039,0.012
3147105,PSD,0.988,0.01,0.002,0.966,0.024,0.01
3147204,PDT,1.0,0.0,0.0,1.0,0.0,0.0
3147303,REPUBLICANOS,0.989,0.006,0.005,1.0,0.0,0.0
3147402,PSD,1.0,0.0,0.0,1.0,0.0,0.0
3147709,PSB,1.0,0.0,0.0,0.938,0.062,0.0
3147808,PV,1.0,0.0,0.0,1.0,0.0,0.0
3147907,PSL,0.997,0.002,0.001,0.995,0.0,0.005
3147956,PTB,1.0,0.0,0.0,1.0,0.0,0.0
3148004,PODE,0.978,0.016,0.006,0.962,0.034,0.004
3148103,DEM,1.0,0.0,0.0,0.996,0.004,0.0
3148400,MDB,0.98,0.02,0.0,0.95,0.025,0.025
3148608,PSB,1.0,0.0,0.0,0.957,0.0,0.043
3148707,REPUBLICANOS,0.992,0.0,0.008,1.0,0.0,0.0
3148756,PT,1.0,0.0,0.0,0.981,0.019,0.0
3148905,SOLIDARIEDADE,0.976,0.024,0.0,0.889,0.074,0.037
3149002,PSB,1.0,0.0,0.0,0.965,0.018,0.017
3149309,MDB,0.998,0.0,0.002,0.908,0.089,0.003
3149408,PP,1.0,0.0,0.0,0.95,0.0,0.05
3149507,DEM,1.0,0.0,0.0,0.921,0.053,0.026
3149952,MDB,0.991,0.0,0.009,0.984,0.0,0.016
3151107,PL,1.0,0.0,0.0,0.8,0.2,0.0
3151206,PTB,1.0,0.0,0.0,1.0,0.0,0.0
3151404,MDB,0.97,0.03,0.0,0.946,0.054,0.0
3151800,PSDB,0.928,0.065,0.007,0.935,0.046,0.019
3151909,PTB,1.0,0.0,0.0,1.0,0.0,0.0
3152006,REPUBLICANOS,0.996,0.004,0.0,0.902,0.024,0.074
3152105,PSB,0.954,0.046,0.0,0.884,0.116,0.0
3152170,PSDB,1.0,0.0,0.0,1.0,0.0,0.0
3152204,PP,1.0,0.0,0.0,0.981,0.0,0.019
3152402,MDB,0.944,0.056,0.0,0.977,0.023,0.0
3152501,DEM,0.973,0.022,0.005,0.993,0.003,0.004
3152808,PP,1.0,0.0,0.0,1.0,0.0,0.0
3153202,PSDB,1.0,0.0,0.0,1.0,0.0,0.0
3153400,CIDADANIA,1.0,0.0,0.0,0.983,0.0,0.017
3153608,PSB,0.968,0.032,0.0,1.0,0.0,0.0
3153707,PDT,1.0,0.0,0.0,0.941,0.02,0.039
3154002,PV,0.931,0.069,0.0,1.0,0.0,0.0
3154101,PSB,0.902,0.098,0.0,0.967,0.033,0.0
3154200,PSDB,0.933,0.067,0.0,0.781,0.156,0.063
3154309,PP,0.928,0.072,0.0,0.871,0.091,0.038
3154408,PSL,1.0,0.0,0.0,1.0,0.0,0.0
3154507,PL,1.0,0.0,0.0,1.0,0.0,0.0
3154606,DEM,1.0,0.0,0.0,1.0,0.0,0.0
3154804,PDT,0.979,0.021,0.0,0.966,0.0,0.034
3154903,PP,0.922,0.078,0.0,0.743,0.257,0.0
3155108,PSB,1.0,0.0,0.0,1.0,0.0,0.0
3155504,PL,0.989,0.0,0.011,0.962,0.0,0.038
3155603,PSC,1.0,0.0,0.0,0.964,0.029,0.007
3155702,CIDADANIA,0.991,0.009,0.0,0.937,0.063,0.0
3155900,DEM,0.833,0.167,0.0,1.0,0.0,0.0
3156007,PSD,1.0,0.0,0.0,1.0,0.0,0.0
3156205,REPUBLICANOS,0.919,0.081,0.0,0.923,0.077,0.0
3156452,PSB,1.0,0.0,0.0,0.982,0.018,0.0
3156601,DEM,0.919,0.081,0.0,0.953,0.047,0.0
3156700,PSB,0.993,0.004,0.003,0.987,0.009,0.004
3156908,MDB,0.985,0.015,0.0,0.938,0.038,0.024
3157005,PDT,1.0,0.0,0.0,1.0,0.0,0.0
3157203,DEM,0.973,0.021,0.006,0.993,0.004,0.003
3157252,PP,0.914,0.086,0.0,0.865,0.0,0.135
3157278,PSC,0.976,0.024,0.0,0.8,0.143,0.057
3157302,PATRIOTA,1.0,0.0,0.0,1.0,0.0,0.0
3157336,PL,0.868,0.105,0.027,1.0,0.0,0.0
3157377,PSL,1.0,0.0,0.0,1.0,0.0,0.0
3157401,PMN,0.9,0.1,0.0,0.968,0.032,0.0
3157658,AVANTE,1.0,0.0,0.0,0.929,0.071,0.0
3157807,PSD,0.948,0.051,0.001,0.845,0.15,0.005
3157906,PP,0.992,0.008,0.0,0.938,0.062,0.0
3158102,DEM,0.97,0.03,0.0,1.0,0.0,0.0
3158201,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3158409,PSD,1.0,0.0,0.0,0.981,0.0,0.019
3158508,PSC,1.0,0.0,0.0,0.889,0.111,0.0
3158607,DEM,0.8,0.2,0.0,0.848,0.109,0.043
3158706,PRTB,1.0,0.0,0.0,0.905,0.048,0.047
3159001,DEM,0.966,0.034,0.0,1.0,0.0,0.0
3159100,REPUBLICANOS,0.95,0.05,0.0,0.935,0.065,0.0
3159308,DEM,0.87,0.13,0.0,0.654,0.346,0.0
3159407,MDB,0.9,0.1,0.0,1.0,0.0,0.0
3159506,PSC,0.986,0.014,0.0,1.0,0.0,0.0
3159605,DEM,0.989,0.011,0.0,0.963,0.037,0.0
3159704,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3159803,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3159902,PSC,0.956,0.044,0.0,1.0,0.0,0.0
3160009,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3160454,CIDADANIA,0.989,0.011,0.0,1.0,0.0,0.0
3160702,CIDADANIA,0.977,0.023,0.0,0.975,0.025,0.0
3160900,REPUBLICANOS,1.0,0.0,0.0,0.969,0.016,0.015
3160959,DEM,1.0,0.0,0.0,1.0,0.0,0.0
3161106,PSD,0.968,0.032,0.0,0.982,0.007,0.011
3161304,REPUBLICANOS,1.0,0.0,0.0,0.951,0.049,0.0
3161601,CIDADANIA,1.0,0.0,0.0,0.947,0.0,0.053
3161700,PV,1.0,0.0,0.0,1.0,0.0,0.0
3161908,PDT,1.0,0.0,0.0,1.0,0.0,0.0
3162252,PL,0.974,0.026,0.0,1.0,0.0,0.0
3162401,PT,0.994,0.006,0.0,0.977,0.006,0.017
3162450,REPUBLICANOS,0.86,0.14,0.0,0.412,0.588,0.0
3162500,PSL,0.976,0.024,0.0,0.982,0.009,0.009
3162559,MDB,0.941,0.047,0.012,0.927,0.0,0.073
3162807,PP,1.0,0.0,0.0,1.0,0.0,0.0
3162906,PSB,0.967,0.029,0.004,0.89,0.104,0.006
3162922,DEM,0.897,0.103,0.0,0.927,0.061,0.012
3162955,AVANTE,0.997,0.003,0.0,0.962,0.019,0.019
3163003,PSDB,1.0,0.0,0.0,1.0,0.0,0.0
